,X.,event,Theme,Account.Users,Metric.Count,Graph.Origin,Number.of.Graphs.on.Dashboard,number.of.graphs,time,Company.ID,Graphs.owned,weekday,X_city,Connector.Backend,Template,Data.Sources.Owned,Data.Format,Account.Type,dashboard.Template.Name,KPI.Count,Client,source,Graph.Origin,Guide.Name,Guide.Type,,,
76,76,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:08,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
77,77,Show More Graphs,,118,NA,,8,0,8/1/2018 0:08,d3a3f99b312aecb7ea7fdb88817ddbc4,NA,Wednesday,Frisco,,,0,,Direct,,NA,Phone App,0,,,,,,
78,78,Edit Graphs,,1,NA,Custom,NA,8,8/1/2018 0:08,1fb0c38e91eb39efd7740c35b063fcaa,NA,Wednesday,Singapore,,,2,,Direct,,NA,,2,Custom,,,,,
79,79,Data Source Connector,,1,NA,,NA,8,8/1/2018 0:08,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
80,80,Switch,,118,NA,,NA,0,8/1/2018 0:09,d3a3f99b312aecb7ea7fdb88817ddbc4,NA,Wednesday,Frisco,,,0,,Direct,,NA,Phone App,0,,,,,,
81,81,Switch,,17,NA,,NA,0,8/1/2018 0:09,0350cd2785e3e1565e068c557ebb8f1a,NA,Wednesday,Bengaluru,,,0,,Direct,,NA,Phone App,0,,,,,,
82,82,Edit Graphs,,1,NA,Custom,NA,8,8/1/2018 0:09,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,Custom,,,,,
83,83,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:09,1caf640d9d16265cb7281cc7ccf8ab55,NA,Wednesday,Wellington,,,2,,Direct,,NA,,2,,,,,,
84,84,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:09,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
85,85,View Dashboard,Light,41,NA,,NA,0,8/1/2018 0:09,6c5941a5643cbcc803d42298adec6661,NA,Wednesday,,,,0,,Partner,,NA,Phone App,0,,,,,,
86,86,Create Data Source,,1,NA,,NA,14,8/1/2018 0:10,1bc6375691d4a6f82025cf6c57709da5,NA,Wednesday,,,,3,,Direct,,NA,,3,,,,,,
